Data Source,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67
Cote d'Ivoire,66.037,65.959,65.871,65.782,65.696,65.634,65.578,65.536,65.486,65.703,65.92,66.135,66.347,66.556,66.76,66.961,67.158,67.352,67.55,67.759,67.974,68.199,68.435,68.342,68.224,68.077,67.933,67.364,66.784,66.19,66.358,67.718,68.083,67.835,67.784,
Cameroon,83.287,83.247,83.204,83.128,83.087,83.041,82.985,82.917,82.853,82.8,82.747,82.691,82.63,82.58,82.55,82.511,82.486,82.461,80.771,78.963,77.037,75.997,74.93,73.835,72.712,71.759,70.828,69.908,68.985,68.046,66.498,65.862,66.259,66.193,65.769,
"Congo, Dem. Rep.",72.904,72.876,72.841,72.781,72.632,72.591,72.808,73.014,73.077,73.042,73.014,73,73.01,73.037,73.061,73.071,72.178,71.267,70.338,69.392,68.427,67.444,66.448,66.466,66.49,66.506,66.478,66.451,66.474,66.512,63.601,66.242,66.085,65.916,65.888,
"Congo, Rep.",69.914,69.848,69.789,69.707,69.617,69.585,69.552,69.563,69.573,69.477,69.284,69.106,69.107,69.055,68.956,68.869,68.785,68.677,68.676,68.645,68.622,68.681,68.802,68.913,69.029,69.105,69.118,69.107,69.084,69.051,67.743,68.093,68.833,68.882,68.846,
Colombia,69.224,69.248,69.513,69.929,70.393,70.792,70.843,71.058,70.953,70.282,70.464,70.506,69.461,70.376,69.682,68.354,67.733,67.117,67.497,70.388,70.537,71.097,71.822,71.129,70.979,71.172,70.67,70.388,69.757,68.992,68.244,69.517,68.279,69.087,69.161,
Comoros,42.37,42.336,42.437,42.567,42.624,42.686,42.692,42.683,42.615,42.494,42.4,42.302,42.227,42.132,41.956,42.312,42.677,43.045,43.412,43.776,44.139,44.502,44.867,45.25,45.653,46.642,47.626,48.543,49.411,50.282,50.791,51.843,52.367,52.258,52.565,
Cabo Verde,63.685,63.437,63.197,62.962,62.73,62.496,62.261,62.023,61.777,61.522,61.26,60.998,60.739,60.48,60.215,59.939,59.65,59.348,59.031,58.699,62.159,62.231,62.327,62.444,62.585,62.752,62.946,63.161,59.477,61.779,59.289,59.971,62.492,62.329,62.429,
Costa Rica,60.102,59.268,58.711,59.67,60.23,61.27,59.249,61.382,63.172,63.059,62.553,63.985,63.678,64.109,62.91,65.594,64.975,65.964,65.39,65.337,64.059,65.226,68.84,68.418,69.233,67.897,65.028,65.373,67.866,70.152,66.853,68.377,68.588,63.926,63.962,
Caribbean small states,63.34032587,63.57150074,63.91794981,64.12243253,64.60521136,65.07358852,65.33695954,65.40713186,65.42323587,65.3792553,65.38868983,65.45275039,65.52185899,66.13988161,66.80528397,67.34455473,67.52522381,67.45491286,67.52190704,67.29582795,66.96412328,66.78101438,67.30491069,67.56380018,67.73342542,67.59478459,67.48639272,67.47867205,67.74104039,67.21686699,64.31706373,64.82144667,65.60698797,65.75184454,65.73723781,
Cuba,59.066,58.88,58.67,58.329,58.597,58.948,59.519,59.908,60.148,60.556,60.889,61.069,61.135,61.236,61.374,61.717,62.112,62.384,62.6,64.164,63.667,63.928,64.232,64.571,64.828,65.17,65.284,65.359,65.367,65.223,61.847,62.217,63.866,63.662,63.5,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,67.706,68.122,67.991,68.16,68.287,68.342,68.314,68.208,68.045,67.864,67.711,69.441,69.335,70.544,71.041,70.98,71.238,71.815,71.533,71.674,72.297,72.292,72.967,73.379,74.444,74.14,73.809,74.699,75.952,76.865,76.712,77.563,79.052,79.761,79.879,
Czechia,72.013,71.918,71.981,72.03,72.394,72.36,72.159,72.133,72.137,72.185,71.522,71.041,70.769,70.371,70.098,70.385,70.301,69.816,69.623,70.051,70.155,70.531,71.581,72.848,73.476,73.95,74.907,75.76,76.431,76.561,76.198,76.497,76.951,77.299,77.215,
Germany,70.046,71.937,71.351,70.819,71.18,70.814,70.612,70.964,71.069,71.527,71.438,71.646,71.861,72.368,72.351,73.891,75.304,75.917,76.068,76.415,76.607,77.022,77.15,77.605,77.752,77.575,77.781,78.178,78.511,79.208,78.535,78.655,79.466,79.861,79.966,
Djibouti,36.991,36.923,36.859,36.774,36.687,36.59,36.459,36.21,35.912,35.697,35.54,35.395,35.266,35.231,35.251,35.236,35.148,35.016,34.878,34.744,34.622,34.502,34.385,34.263,34.124,33.963,33.783,33.588,33.405,33.232,32.476,32.666,33.382,33.555,33.555,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,82.392,82.246,82.035,81.173,78.708,79.439,79.408,79.638,79.095,80.349,79.799,78.95,79.61,79.431,80.079,79.725,80.475,80.053,79.277,78.659,77.963,77.749,77.17,76.504,76.522,76.895,77.414,77.866,78.197,79.043,78.921,79.583,80.361,80.754,80.913,
Dominican Republic,58.665,58.641,59.072,59.341,59.403,59.606,59.828,60.182,60.447,60.681,60.86,59.597,60.065,59.142,59.213,59.026,59.856,59.824,60.312,58.031,59.518,60.936,62.161,62.192,62.542,65.249,65.747,65.695,67.399,68.788,63.742,67.128,67.269,68.712,69.142,
Algeria,47.908,48.102,48.114,48.163,48.198,48.112,48.032,47.683,47.382,47.158,46.947,46.751,46.556,46.373,46.227,46.096,46.01,45.947,45.923,45.934,46.254,46.11,45.948,45.779,45.593,45.529,45.5,45.596,45.661,45.685,42.922,43.326,45.095,44.941,44.632,
East Asia & Pacific (excluding high income),80.79735039,80.41095093,80.0808262,79.65253466,79.45197951,79.10635922,78.74755814,78.27269419,77.916164,77.51002786,77.1348893,76.98155836,76.64340725,76.38139867,76.18357386,75.86684765,75.63912045,75.69917945,75.5251731,75.34283782,75.21091875,75.37630378,75.1612468,74.7929656,74.72739176,74.59483805,74.39972421,74.1392975,74.16607881,74.08504462,72.84204879,73.59012603,73.26962604,73.47174646,73.22103917,
Early-demographic dividend,60.41075629,60.4782216,60.56163355,60.4684653,60.74452167,60.81453292,60.99812387,61.19157539,61.39347649,61.59111768,61.63541145,61.43560681,61.15126018,61.06224061,61.0432355,60.91694444,60.5006105,60.247373,59.75217985,59.40171265,59.10874957,58.8993951,58.72487728,58.60395851,58.4439803,58.40874534,58.33554943,58.31214867,58.30608314,58.32390349,57.01566266,57.88461077,58.89442288,59.50522834,59.95627853,
East Asia & Pacific,79.17749496,78.90693588,78.6708887,78.31415852,78.18429111,77.91751467,77.65415697,77.29201814,76.94451499,76.58396854,76.282182,76.17822172,75.88878346,75.6612299,75.52007778,75.28785282,75.12855647,75.21346388,75.0669931,74.89134988,74.78179597,74.95098071,74.78320011,74.51063787,74.5235526,74.45071794,74.33234293,74.15880864,74.25353843,74.23229958,73.08916846,73.82235366,73.61846653,73.8550174,73.6631283,
Europe & Central Asia (excluding high income),65.55068022,65.78651775,65.71553779,64.78561202,65.64318539,65.43844184,65.12812706,64.62580549,64.45700251,64.22957183,63.22884533,63.05756844,62.90704561,62.42121698,61.59015505,61.45727086,61.25426475,61.2076564,61.20166791,61.41531914,61.61542927,61.97409694,61.93428879,62.1762363,62.2187649,62.62767159,63.06075933,63.42232287,63.66391652,63.73829156,62.09393815,62.89736047,63.20837539,63.35101297,63.54420123,
Europe & Central Asia,68.70742063,68.90409503,68.59792822,67.88671596,67.72548465,67.5320786,67.37990598,67.07626107,66.96551696,67.75352343,67.64362976,67.33505385,67.58868836,67.64591323,67.7306418,68.07700155,68.33311849,68.572263,68.8090011,68.74822771,68.8551507,69.04198634,69.37125115,69.60890181,69.84005628,70.13129018,70.53444985,70.85567521,71.1474695,71.22788952,70.49632368,71.28260212,72.28235973,72.60484392,72.6526068,
Ecuador,64.198,64.436,64.461,64.488,64.768,64.841,64.863,65.804,68.072,66.795,65.479,66.132,66.78,67.424,69.589,69.085,70.12,68.989,68.852,66.39,65.193,64.213,64.986,64.879,65.279,68.307,70.342,70.957,69.521,69.138,63.349,68.302,68.271,67.882,67.86,
"Egypt, Arab Rep.",48.775,48.859,49.385,50.113,51.051,49.946,49.248,48.553,47.856,49.515,48.271,47.013,45.346,46.311,47.275,48.238,49.206,50.156,49.868,50.194,51.677,51.162,50.858,50.89,50.639,49.436,48.949,47.261,45.647,44.561,44.021,45.534,45.42,45.483,45.294,
