Data Source,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,63.413,63.48,63.604,63.686,63.767,63.881,63.907,64,64.121,64.187,64.241,64.236,64.301,64.311,64.349,63.915,63.48,63.045,62.609,62.172,61.734,62.91,66.9,61.882,62.304,62.294,62.407,62.563,62.198,60.969,58.618,59.644,62.055,62.055,62.027,
Guam,75.493,75.168,74.815,74.432,74.021,73.601,73.172,72.731,72.283,71.829,71.386,69.194,65.935,65.687,65.41,64.89,66.618,61.37,63.465,65.544,65.357,66.797,66.972,67.179,67.393,67.644,67.918,68.179,68.5,68.723,67.287,67.967,69.796,70.149,70.477,
Guyana,61.322,61.671,62.076,62.495,62.14,61.782,61.424,61.063,60.698,60.326,59.942,59.537,59.102,59.202,59.248,59.266,59.255,59.222,59.171,59.103,59.019,58.924,58.779,58.594,58.425,58.286,58.182,58.11,58.237,54.504,53.981,54.141,53.62,53.362,53.283,
High income,70.28585488,70.43306788,70.36313097,70.03727065,69.89197261,69.8841188,69.94181334,69.96511571,69.84231094,70.39106064,70.50758457,70.26840396,70.38706831,70.39407577,70.56106029,70.88582295,71.21071583,71.39995018,71.59681995,71.33209523,71.29976646,71.33398652,71.68132689,71.89121554,72.19256038,72.41724268,72.8177215,73.16819497,73.56711125,73.87964796,73.19520338,73.8573117,74.58594339,75.05608149,75.17240036,
"Hong Kong SAR, China",69.44,69.843,69.107,68.938,69.044,69.115,69.14,69.204,69.354,69.275,69.177,69.677,70.214,69.831,69.888,69.866,69.902,70.042,69.538,69.484,68.237,68.933,69.535,70.588,70.669,71.223,71.544,71.896,72.431,72.079,71.569,71.959,71.322,71.47,71.674,
Honduras,67.373,67.056,67.176,67.315,67.172,67.304,67.246,67.315,67.345,67.177,65.645,65.083,64.518,63.951,63.38,62.805,61.014,60.068,60.711,61.849,63.103,60.863,59.662,63.902,65.572,65.482,64.937,65.696,68.326,66.18,61.756,64.577,65.837,59.326,59.204,
Heavily indebted poor countries (HIPC),72.7657554,72.82677856,72.79459313,72.68354852,72.64276328,72.67602994,72.64919498,72.58752875,72.51942567,72.4464908,72.37408956,72.33256838,72.27466315,72.19248974,72.12887301,72.0412267,71.80920927,71.55469886,71.25202197,70.9527556,70.66561162,70.69854483,70.49607939,70.3158624,69.41437515,68.82810258,68.29710941,67.57848536,67.32767884,66.98886634,65.61592029,66.03036643,66.04198762,67.58734633,67.49635189,
Croatia,65.563,65.545,65.238,64.917,64.601,64.3,64.046,63.814,63.604,63.46,63.379,63.251,62.993,63.166,64.637,64.62,64.101,65.592,65.768,65.617,65.133,64.178,63.894,63.707,66.124,66.999,65.642,66.497,66.402,66.662,67.236,68.805,70.01,69.877,69.978,
Haiti,67.785,67.447,67.107,66.765,66.422,66.08,65.617,65.154,64.69,64.225,63.761,63.982,64.206,64.43,64.654,64.877,65.244,65.619,65.99,66.368,66.711,66.882,66.851,66.987,67.065,67.081,67.12,67.191,67.228,67.119,66.497,66.784,66.701,66.592,66.511,
Hungary,61.838,61.506,61.395,61.375,61.405,61.443,61.481,61.537,61.636,61.835,62.206,62.651,63.048,63.344,63.651,63.886,64.067,64.077,64.065,63.544,64.145,64.526,65.547,66.606,68.705,70.461,72.071,73.058,74.011,74.648,75.021,76.166,77.186,78.074,78.188,
IBRD only,70.87810711,70.69266163,70.53002298,70.20975271,70.09142461,69.95972513,69.70719507,69.54218542,69.38783942,69.41852687,69.21497858,68.99866241,68.76854276,68.61010429,68.54749767,68.44108292,68.10183845,67.89747039,67.52664386,67.1912416,66.79653877,66.63941546,66.3948818,66.15499351,66.03873909,65.98269933,65.89862462,65.76154329,65.6964849,65.61333168,64.07385236,65.21530275,65.5704971,66.0320973,66.21408853,
IDA & IBRD total,70.1936559,70.04638925,69.90566171,69.63357687,69.53952237,69.40612804,69.22035924,69.1005711,68.98153009,69.00118526,68.8228538,68.63195904,68.42454883,68.27893088,68.20915579,68.09324804,67.77708226,67.57165584,67.2323474,66.95525472,66.63481564,66.49774167,66.26504229,66.05424322,65.86505573,65.78251138,65.65282065,65.51458603,65.42831556,65.3440924,64.01645656,64.95804518,65.25189299,65.80518871,65.92502926,
IDA total,67.01992928,67.07630983,67.06490942,67.04113601,67.08482998,66.97114392,67.10002517,67.1942039,67.24414098,67.234053,67.17846035,67.10840706,67.00799836,66.92751817,66.84110825,66.6998295,66.49019054,66.29746789,66.0964522,66.05613077,66.02682226,65.97227675,65.78964698,65.68953947,65.24426165,65.07709263,64.80022547,64.67241432,64.52996278,64.45873534,63.83134266,64.14432858,64.27193628,65.10226312,65.04112123,
IDA blend,66.71539592,66.91482842,67.02207062,66.97611817,67.04217446,66.75606904,67.04610664,67.32662804,67.2138628,67.30498127,67.34985545,67.287578,67.14960294,67.10594629,67.00212791,66.77788315,66.55766577,66.40526408,66.20279604,66.23614917,66.28267448,66.17407844,66.29844373,66.39117321,66.19795132,66.60273975,66.5640879,66.2972536,65.98028028,66.13222139,66.06345766,66.69536902,66.71251225,67.1946018,67.20136215,
Indonesia,68.087,67.766,68.037,67.336,68.717,68.699,68.678,68.073,68.672,69.089,69.587,69.101,68.024,67.653,67.61,66.571,66.415,68.401,68.599,68.253,68.858,69.388,69.951,69.272,69.063,69.001,68.742,69.047,70.027,70.571,69.644,68.175,69.08,69.073,69.106,
IDA only,67.17782654,67.1604668,67.08722951,67.07495091,67.10700119,67.08301044,67.12816739,67.12480153,67.26006178,67.19667362,67.08782982,67.01322654,66.93260534,66.83234885,66.75492049,66.65791506,66.45387248,66.23924207,66.03876025,65.95809187,65.88708356,65.86196795,65.51179156,65.30658384,64.72459076,64.248143,63.84605919,63.79661183,63.75030024,63.56180173,62.63764828,62.78128424,62.96928408,63.94270191,63.83474991,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,59.868,59.919,59.973,60.029,60.092,60.47,60.851,61.237,61.625,62.014,62.401,62.253,62.104,61.955,61.8,61.646,60.664,59.7,58.759,57.843,56.953,56.314,55.693,55.616,55.531,55.436,55.339,55.242,55.139,55.03,54.374,55.481,56.664,57.922,58.987,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,69.686,70.597,69.615,70.349,70.976,71.318,72.566,71.879,72.887,73.248,73.834,73.862,73.689,73.526,73.628,74.926,75.169,75.564,74.838,73.018,71.604,71.18,71.128,71.795,71.84,72.061,72.663,72.633,72.939,73.251,71.883,74.793,76.499,77.226,77.494,
"Iran, Islamic Rep.",48.053,47.822,47.377,46.909,46.374,45.759,45.096,45.16,45.235,45.355,45.536,45.793,46.121,46.599,47.228,47.927,47.118,46.308,44.154,44.938,44.363,42.714,44.009,43.452,43.344,44.565,46.019,47.313,47.579,47.371,44.693,44.486,44.273,44.233,44.05,
Iraq,44.081,44.016,43.823,43.783,43.743,43.676,43.631,43.5,43.508,43.512,43.511,43.507,43.5,43.49,43.477,43.462,43.443,43.421,43.264,43.108,42.954,42.801,42.645,43.649,44.665,44.72,44.775,43.509,43.453,43.297,41.501,41.507,43.027,43.022,42.93,
Iceland,82.002,82.042,82.702,82.452,82.918,85.971,84.58,83.648,85.366,86.76,88.549,88.415,87.163,87.744,86.615,85.765,86.844,86.916,85.962,84.3,84.483,84.269,84.684,85.647,87.168,88.207,89.202,88.528,87.356,87.095,84.88,84.87,86.496,86.713,86.792,
Israel,65.785,66.273,66.887,68.5,69.522,70.025,69.464,69.11,68.414,68.809,69.501,69.341,68.476,68.918,69.485,69.882,70.388,71.004,70.856,70.799,71.167,70.928,73.247,73.156,73.833,73.842,73.799,73.803,73.654,73.339,71.665,71.819,73.499,73.636,73.778,
Italy,60.072,60.546,58.684,58.267,57.903,57.704,58.152,58.444,59.096,59.59,59.895,60.2,60.885,61.584,62.875,62.488,62.661,62.43,62.911,62.241,62,62.042,63.464,63.316,63.892,63.976,64.881,65.381,65.581,65.69,64.086,64.484,65.556,66.696,66.856,
Jamaica,75.749,75.397,75.01,74.572,74.095,73.586,73.051,72.487,71.911,71.065,70.402,69.751,69.328,68.907,68.755,68.477,68.158,67.817,67.471,65.053,63.339,64.028,63.899,65.036,65.707,68.823,68.302,69.072,68.924,70.577,68.42,69.347,71.497,71.915,72.239,
Jordan,40.352,40.748,40.54,40.684,40.773,40.76,40.851,40.859,40.87,40.875,40.859,40.333,39.89,38.959,39.456,39.95,39.404,41.609,41.362,41.992,41.378,40.93,39.899,38.969,38.135,39.424,40.792,42.188,41.192,41.408,42.221,40.883,40.845,40.916,40.917,
Japan,70.188,70.75,71.23,71.403,71.467,71.591,72.092,72.663,72.692,72.544,72.624,72.748,72.436,72.387,72.415,72.919,73.432,73.845,74.023,74.083,74.064,74.116,74.371,75.241,75.902,76.225,77.122,77.884,79.073,79.798,79.842,80.257,80.9,81.51,81.912,
Kazakhstan,75.818,76.077,76.144,76.275,76.505,76.612,76.492,76.403,76.498,76.55,76.456,76.252,76.093,76.106,75.865,76.19,76.501,76.825,77.174,77.268,77.454,77.776,78.174,78.624,79.034,79.34,79.588,79.864,80.104,80.331,79.325,79.814,79.988,79.801,79.454,
Kenya,73.932,73.859,73.779,73.693,73.606,73.524,73.446,73.356,73.273,73.175,73.256,73.336,73.415,73.493,73.573,73.655,73.74,73.826,73.914,74.004,74.099,74.2,74.302,74.403,74.506,74.606,74.697,72.614,70.426,68.129,67.419,67.869,67.659,67.459,67.208,
Kyrgyz Republic,73.282,74.002,75.181,76.521,78.278,78.799,78.389,77.76,77.642,77.408,77.055,76.715,76.754,76.316,75.889,75.933,75.707,75.058,74.372,74.038,73.996,73.291,70.923,69.206,68.205,68.59,68.237,66.7,67.727,67.844,68.324,68.519,69.058,69.259,69.379,
Cambodia,82.59,82.561,82.515,82.491,83.074,82.919,82.808,82.727,82.692,82.601,82.578,82.545,82.506,82.46,82.762,83.065,83.367,83.666,81.437,84.385,87.114,87.661,85.366,82.749,83.035,82.766,84.453,84.412,84.98,85.543,85.369,82.942,83.589,83.65,83.758,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",61.711,62.535,62.841,62.983,63.776,64.173,64.432,64.815,63.141,63.114,63.614,64.136,64.779,64.624,65.41,65.262,65.269,65.189,64.877,64.374,64.726,65.22,65.52,65.893,67.242,67.873,68.128,68.575,68.555,68.772,67.886,68.399,70.01,70.658,70.891,
Kuwait,66.317,65.621,65.019,65.473,67.226,68.398,68.424,67.927,67.495,67.215,67.151,67.337,67.775,68.433,69.218,69.576,69.333,69.115,69.15,69.417,69.894,70.91,71.963,72.605,73.163,73.693,74.121,74.676,74.992,75,70.419,71.735,75.837,75.613,75.398,
Latin America & Caribbean (excluding high income),65.02841641,65.17456754,65.52361618,65.97523852,66.30344182,66.58679863,66.12106204,67.00634066,67.20536,67.28361315,67.13478652,67.16454347,67.35596129,67.68661498,68.25118685,68.61148315,68.80963958,68.75369902,68.66165201,69.05224083,68.55263459,68.23916615,68.46615358,68.30026625,68.06729595,68.33081645,68.44889042,68.70219836,68.94041664,69.36572106,65.25306866,68.1202717,69.11665135,69.07411315,69.14418931,
Lao PDR,65.508,65.467,65.397,65.318,65.183,65.067,64.949,64.826,64.766,64.623,64.511,64.398,64.28,64.155,64.02,63.865,63.692,63.56,63.423,63.296,63.146,63.01,62.875,62.738,62.611,62.457,62.285,62.137,63.301,64.493,65.174,66.656,68.41,68.437,68.616,
Lebanon,46.237,46.251,45.94,45.8,45.742,45.739,45.621,45.769,45.845,46.03,46.159,46.215,46.277,46.348,46.339,46.206,46.071,45.934,46.446,46.964,47.49,48.027,48.573,49.135,49.71,50.409,51.235,52.063,52.881,53.685,49.821,50.527,50.591,50.726,,
Liberia,78.364,78.373,78.336,78.295,78.236,78.198,78.168,78.142,78.123,78.109,78.095,78.084,78.084,77.947,77.965,77.989,78.027,78.074,78.09,78.093,78.103,78.011,77.948,77.993,77.985,77.949,77.898,77.863,77.813,77.732,76.976,77.209,77.717,77.755,77.728,
Libya,47.283,47.348,47.424,47.516,47.633,47.784,47.979,48.216,48.5,48.818,48.922,48.85,48.858,48.93,49.058,49.219,49.576,50.11,50.618,51.112,51.599,52.01,52.305,52.478,52.589,52.648,52.67,52.66,52.619,52.55,51.843,52.235,52.035,51.86,51.614,
St. Lucia,67.18,67.177,67.334,67.482,67.617,67.735,67.838,67.927,68.156,68.551,68.979,69.267,69.535,69.789,70.035,70.285,70.547,70.867,71.262,71.698,72.094,72.432,74.57,74.821,74.88,74.933,74.993,75.067,75.524,74.181,58.257,71.229,75.167,75.474,75.529,
Latin America & Caribbean,64.57996931,64.79669844,65.17107625,65.62110853,65.9422678,66.25511889,65.86807541,66.70022704,66.90750496,66.95123257,66.79565671,66.83214616,66.95169542,67.23799019,67.81339704,68.21136,68.46252676,68.42846573,68.38639118,68.70387187,68.30603576,68.06127648,68.28616712,68.12620175,67.92718662,68.13636246,68.20951028,68.42179461,68.62671579,68.91169022,64.83550668,67.47400327,68.53702534,68.52427834,68.5871731,
Least developed countries: UN classification,67.75658149,67.8343773,67.85574155,67.83375233,67.86937545,67.95091427,67.98560766,67.99268207,67.99919561,67.98115274,67.93683303,67.90330991,67.85948548,67.79497311,67.74934237,67.68755937,67.53710256,67.41567634,67.23585874,67.15763135,67.08649683,67.07807785,66.82982802,66.54376366,65.83122909,65.20830461,64.77848169,64.73319817,64.72843841,64.57032389,63.71881969,63.9092935,64.10400701,65.29535296,65.22139245,
Low income,69.80867788,69.85898878,69.80772433,69.63390825,69.5102241,69.51731917,69.5039769,69.44057062,69.37083982,69.29333233,69.18249162,68.98564923,68.74865768,68.50348996,68.28476303,68.02673515,67.5661997,67.05687186,66.64328278,66.28723636,65.94670963,66.14338134,65.71955043,65.50212549,64.70170871,63.98228248,63.5140787,62.98647185,62.86003722,62.65854054,61.56620336,61.81660319,61.90442308,64.10754705,63.71770231,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,64.991,62.467,59.874,60.008,60.409,58.075,58.664,58.503,62.426,60.786,58.946,58.726,58.516,58.311,58.106,57.905,57.71,57.521,57.336,57.153,56.973,56.637,56.349,55.855,55.681,57.913,58.012,58.361,56.264,56.817,55.114,54.716,54.639,54.854,54.888,
Lower middle income,62.28897659,62.33289992,62.37213325,62.43054053,62.52116918,62.61884653,62.84126666,63.03609797,63.21333701,63.43772304,63.52845729,63.44932465,63.2545641,63.18040919,63.12149802,63.04625716,62.54428234,62.08069408,61.5703461,61.17939975,60.81271353,60.44346202,60.05161764,60.00296036,59.90472612,59.84948584,59.7481764,59.63435036,59.56316615,59.53172301,58.8040201,59.65057317,60.53130242,61.26774659,61.82044779,
Low & middle income,70.08518401,69.92256437,69.77889083,69.56564975,69.54556129,69.4182138,69.26048457,69.1866738,69.09612633,68.99293217,68.79745483,68.6328074,68.40592801,68.26129252,68.14586508,67.99062932,67.63599354,67.38588896,67.00103324,66.72718653,66.36755245,66.2091238,65.94549086,65.7141318,65.51536915,65.4416907,65.31327166,65.18253587,65.10780864,65.06392386,63.72317741,64.6934819,64.98343807,65.57225215,65.70751626,
Lesotho,74.89,74.917,74.915,74.867,74.804,74.706,74.615,74.494,74.329,74.147,73.672,73.19,72.698,72.197,71.69,71.178,70.651,70.102,69.545,68.984,68.42,67.855,67.292,66.734,65.607,64.45,63.255,62.04,60.806,59.56,58.997,58.915,60.048,59.98,59.667,
Late-demographic dividend,79.19997306,78.91777425,78.62461423,78.23073731,77.82443961,77.5323012,77.02891578,76.64364585,76.24565401,76.16378175,75.79748891,75.63230322,75.53647458,75.37217858,75.29775249,75.24761709,75.07736174,74.98713066,74.90017601,74.8104245,74.58066766,74.61497037,74.43026419,74.23305803,74.23788612,74.28685747,74.2355316,74.16520354,74.13108005,74.07083365,72.71933445,74.01121883,73.57292054,73.77412255,73.61181622,
Lithuania,76.127,75.647,75.149,74.648,74.162,73.724,73.258,72.716,72.128,72.464,71.111,70.062,69.701,72.135,69.278,68.65,67.53,67.909,68.463,69.645,70.263,71.391,71.826,72.427,73.735,74.144,75.466,75.968,77.339,78.022,78.533,78.184,78.303,78.175,78.324,
Luxembourg,60.157,61.769,62.91,62.355,62.341,60.339,61.268,61.642,61.977,63.063,64.266,64.06,65.307,64.458,65.649,66.549,66.509,66.483,66.442,68.573,68.083,67.701,69.289,69.627,70.224,71.309,70.625,70.107,71.006,71.916,72.112,73.32,73.135,74.007,74.109,
Latvia,70.577,70.636,70.606,70.738,70.497,70.359,70.256,69.964,70.055,68.404,67.152,67.631,69.283,68.736,68.693,69.158,71.056,72.699,74.302,73.7,73.067,72.987,74.487,74.037,74.484,75.692,76.241,77.028,77.489,77.551,78.187,75.802,76.737,76.639,76.445,
"Macao SAR, China",61.829,62.321,62.628,64.874,66.82,68.526,70.015,71.284,70.877,71.387,71.307,70.525,69.493,66.83,67.621,68.85,70.807,73.686,74.838,75.102,75.077,76.035,76.179,76.423,77.34,77.159,76.547,76.704,77.324,77.38,76.738,78.326,77.354,74.852,75.087,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,52.556,52.459,52.759,53.004,52.798,53.24,52.963,53.224,53.129,53.24,53.306,53.175,52.614,52.685,52.728,52.747,52.834,52.873,52.942,52.484,52.026,51.643,50.877,50.852,50.673,50.156,49.252,48.297,48.711,49.14,47.729,48.574,47.612,47.775,47.67,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,64.559,64.801,65.026,65.221,65.388,65.475,65.607,65.613,65.704,65.736,65.711,63.627,62.503,60.514,58.212,57.144,60.338,60.156,61.028,62.252,64.774,65.726,65.988,66.441,70.966,72.21,71.926,70.446,68.737,71.473,71.839,74.416,74.013,72.367,72.517,
Madagascar,87.463,87.411,87.345,87.288,87.258,87.25,87.277,87.324,87.386,87.448,87.503,87.556,87.669,87.693,87.708,87.692,87.713,87.717,87.705,87.673,87.624,87.552,87.463,87.363,87.258,87.156,86.959,86.791,86.657,86.546,85.718,86.173,86.346,86.342,86.374,
Maldives,50.195,50.571,50.947,51.32,51.689,52.055,52.786,53.518,54.25,54.981,55.705,55.482,55.262,55.045,54.83,54.616,54.377,54.104,53.822,53.54,54.539,55.533,56.52,57.503,58.479,59.44,60.386,62.226,64.048,65.855,64.974,66.469,65.919,65.907,66.385,
"Middle East, North Africa, Afghanistan & Pakistan",49.75233222,49.85640594,49.89781924,49.85416393,49.858743,49.3437363,49.36723284,49.50423888,49.31474795,49.6768164,49.60467639,49.36020188,49.06182586,49.27543119,49.5217557,49.68427979,49.65391272,49.72783995,49.4389156,49.79307912,50.16095755,49.90284774,50.10497264,50.25417864,50.23221323,50.46096371,50.59287924,50.27679747,49.9325735,50.02529764,49.03287312,49.57673328,49.65840256,49.71998285,49.6547687,
Mexico,60.125,60.237,60.797,61.434,61.5,61.605,61.71,63.176,62.889,62.097,62.004,61.361,60.89,61.347,62.033,62.897,63.775,63.911,63.616,63.615,63.483,63.729,64.499,64.355,63.801,63.862,63.846,63.694,63.995,64.859,60.241,64.006,65.113,66.026,66.127,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,70.10075679,69.926147,69.77725621,69.56174432,69.54759935,69.41245485,69.24626248,69.17179421,69.07993245,68.97508431,68.77443473,68.6115708,68.38510086,68.24641843,68.1372509,67.98836638,67.64042717,67.40711203,67.02444445,66.75639221,66.39591058,66.21362174,65.96116324,65.72900394,65.57309477,65.54667392,65.444993,65.34658949,65.27947655,65.25197628,63.89571272,64.92864822,65.24256266,65.68777451,65.86480651,
North Macedonia,61.792,62.056,61.785,61.524,61.214,60.886,60.6,60.514,60.001,59.532,59.788,60.035,60.194,60.869,60.892,60.942,61.184,62.483,63.105,63.249,61.628,63.374,63.202,64.093,64.513,63.936,63.614,63.937,63.797,64.791,64.132,63.969,65.904,65.889,65.938,
Mali,72.361,72.431,72.414,72.41,72.39,72.338,72.307,72.257,72.206,72.138,72.049,72.027,71.962,71.938,71.904,71.918,71.945,71.974,72.015,72.061,72.113,72.16,72.226,72.283,72.298,72.466,71.756,71.033,70.976,70.899,67.327,70.161,71.032,70.935,70.888,
Malta,57.269,57.324,57.507,57.668,57.702,57.785,58.122,58.41,58.568,58.641,58.181,58.935,58.872,58.709,57.151,57.741,57.956,58.889,59.129,59.453,60.556,62.05,64.021,66.326,67.845,68.828,70.575,72.13,74.665,75.846,77.05,78.157,79.837,80.377,80.878,
Myanmar,72.796,72.858,72.719,72.649,72.55,72.456,72.372,72.3,72.219,72.026,71.769,71.555,71.324,71.052,70.775,70.489,70.206,69.943,69.706,69.466,69.263,69.159,69.018,68.854,68.728,68.659,67.44,66.199,66.601,64.789,64.405,59.352,59.427,59.642,59.666,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",49.01999889,49.13347107,49.13793055,49.05879016,49.04492637,48.49175042,48.53552821,48.70194371,48.52058708,48.91204158,48.79078608,48.53724329,48.22081583,48.42580229,48.66454734,48.80433439,48.70793176,48.69931988,48.29333263,48.62014076,48.91874941,48.49839472,48.51274066,48.50489251,48.3338369,48.427181,48.44082725,48.16045105,47.77496357,47.82638711,46.7715869,47.40738268,47.33158451,47.31940317,47.17126336,
Montenegro,56.393,56.468,56.537,56.588,56.509,56.391,56.326,56.315,56.303,56.512,56.574,56.684,56.724,56.731,56.784,56.889,56.998,57.146,57.317,57.241,57.219,57.223,58.596,58.861,61.538,62.348,63.066,63.162,64.406,65.909,61.239,59.147,59.714,59.846,59.798,
Mongolia,60.354,61.009,61.694,62.043,62.116,61.991,62.089,62.116,62.173,62.233,62.37,62.403,62.332,62.15,61.967,61.824,61.709,61.635,60.822,61.218,61.399,62.42,62.366,62.308,62.436,62.608,61.26,62.08,62.84,67.62,65.343,63.591,65.341,64.985,64.635,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,84.332,84.318,84.28,84.265,84.224,84.17,84.14,84.145,84.501,84.84,85.164,85.473,85.769,86.053,85.571,85.075,84.564,84.037,83.494,82.937,82.364,81.774,81.169,80.546,79.907,79.251,79.236,79.215,79.2,79.185,78.436,78.4,79.297,79.162,79.097,
Mauritania,47.324,47.274,47.223,47.186,47.119,47.096,47.062,46.994,46.951,46.91,46.844,46.629,46.423,46.235,46.039,45.856,45.702,45.485,45.297,45.132,44.97,44.808,44.643,44.182,43.687,43.194,42.705,42.221,42.181,42.126,41.706,41.763,42.15,42.003,41.889,
Mauritius,64.384,64.409,64.376,64.314,64.224,64.093,63.95,63.805,63.667,63.529,63.396,62.1,62.87,65.067,63.611,64.044,63.838,62.988,63.103,63.334,64.209,63.636,63.95,65.261,65.718,66.481,66.069,66.586,66.465,67.393,63.806,60.984,64.76,64.698,64.897,
Malawi,80.582,80.67,80.686,80.768,80.766,80.846,80.869,80.875,80.89,80.886,80.855,80.8,80.776,80.768,80.762,80.76,79.705,78.614,77.483,76.305,75.081,73.81,72.94,72.046,71.131,70.194,69.236,68.258,68.124,67.981,68.952,67.613,67.875,67.847,67.547,
Malaysia,64.796,64.764,64.748,64.732,64.742,64.758,64.79,64.867,65.107,65.153,65.083,64.99,64.806,64.627,64.449,64.314,64.225,64.185,64.217,64.358,64.449,64.569,65.723,66.881,68.033,68.354,68.338,68.555,69.065,69.499,69.332,69.565,69.641,69.753,69.917,
North America,75.41152309,75.16391676,75.37854676,75.30507451,75.44269405,75.57235639,75.73245811,76.03174628,75.98075726,75.95435923,75.91996332,75.55710625,75.29493556,74.83063227,74.50672819,74.41116018,74.5279438,74.35465578,74.35265221,73.72550779,73.11311081,72.63997673,72.63680588,72.43201769,72.31093678,72.26328928,72.57169469,72.95344277,73.19561561,73.65840759,72.4790756,72.98814757,73.57853653,74.29080288,74.46632271,
Namibia,56.872,56.841,56.831,56.794,56.765,56.143,55.523,54.906,55.068,55.23,55.393,55.679,55.967,56.255,56.543,56.828,57.112,57.399,57.691,57.988,58.292,58.599,58.903,62.933,62.334,62.419,62.484,61.29,60.052,60.112,59.06,59.442,60.286,60.389,60.424,
New Caledonia,68.983,69.071,69.301,69.548,69.758,69.911,70.174,70.381,70.644,70.804,70.922,71.01,71.034,71,70.949,70.865,70.847,70.965,71.109,71.191,71.17,71.173,71.231,71.304,71.36,70.233,69.061,67.87,66.65,65.407,65.421,65.578,65.667,65.487,65.214,
Niger,79.745,79.727,79.719,79.706,79.7,79.698,79.704,79.736,79.802,79.848,79.898,79.977,80.054,80.127,80.197,80.287,80.37,80.44,80.518,80.57,80.63,80.654,78.759,76.735,74.586,74.387,74.189,73.99,73.792,73.594,72.893,72.947,73.326,73.43,73.298,
Nigeria,83.883,83.961,83.875,84.046,84.207,84.301,84.234,84.214,84.207,84.279,84.189,84.07,83.619,83.447,83.204,83.064,82.938,82.792,82.638,82.434,82.229,82.128,82.068,81.905,81.751,81.742,81.915,81.982,82.002,82.009,82.185,82.13,82.092,83.415,83.36,
Nicaragua,59.33,59.229,59.152,59.044,59.094,59.251,59.837,60.392,60.943,61.359,61.777,62.197,62.618,63.041,63.463,63.878,64.267,64.639,65.01,65.38,65.749,66.116,66.486,66.864,67.257,67.451,67.637,67.827,67.654,67.501,66.866,67.842,67.879,68.085,68.158,
Netherlands,78.352,78.546,78.864,79.022,79.125,79.185,79.417,79.674,79.931,80.236,80.554,80.75,80.721,80.603,80.449,80.34,80.448,80.577,80.75,80.672,80.482,80.668,81.603,81.912,81.562,82.184,82.188,82.222,82.768,83.393,83.414,83.678,84.73,85.497,85.675,
Norway,75.385,75.753,76.106,76.498,76.936,77.377,77.93,78.461,78.892,79.167,79.334,79.434,79.476,79.434,79.516,79.623,79.758,79.867,79.851,79.622,78.981,79.014,79.127,79.168,78.837,79.181,79.021,78.385,78.889,79.333,79.391,79.865,80.352,80.318,80.389,
Nepal,43.323,43.313,43.329,43.331,43.306,43.271,43.229,43.201,43.181,43.168,43.156,43.149,43.148,43.152,43.161,43.151,43.114,43.071,43.036,43.017,43.016,42.977,42.862,42.698,42.548,42.46,42.36,42.207,42.07,42.185,41.79,41.912,42.21,42.273,42.272,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,73.079,73.175,72.835,72.881,73.768,74.579,75.46,75.372,74.956,74.918,75.023,75.575,76.209,75.848,76.318,77.235,77.84,78.065,77.933,77.723,77.457,77.767,77.59,77.464,78.647,78.715,79.908,80.953,81.157,80.932,80.654,81.576,82.531,83.274,83.429,
OECD members,69.13173057,69.31116234,69.24716259,69.01882831,69.24253344,69.2523195,69.42512804,69.6792773,69.66714873,69.70225892,69.6765076,69.53934871,69.51919635,69.53836866,69.49088457,69.7780924,70.07352122,70.12550221,70.27931817,70.24780134,70.18253018,70.24170538,70.5871927,70.72999796,70.83330545,71.0025479,71.32074647,71.67707596,72.0044346,72.33080169,70.93337261,71.97376678,72.76276712,73.35472588,73.5285435,
Oman,58.075,59.063,59.895,60.663,60.737,60.133,59.616,59.04,58.636,58.373,57.951,57.676,57.691,57.832,57.97,58.095,58.394,58.892,59.586,60.449,61.546,64.668,68.021,69.699,70.563,71.404,72.258,72.663,72.502,71.773,67.483,67.463,69.893,69.98,69.922,
